tract_geoid,year,sales_n,entity_n,port10_n,port25_n
72113070400,2001,1,0,0,0
72113070400,2002,4,0,0,0
72113070400,2003,4,0,0,0
72113070400,2004,3,0,0,0
72113070400,2005,4,0,0,0
72113070400,2006,2,0,0,0
72113070400,2007,1,0,0,0
72113070400,2008,3,0,0,0
72113070400,2009,3,0,0,0
72113070400,2010,3,0,0,0
72113070400,2011,4,0,0,0
72113070400,2012,1,0,0,0
72113070400,2013,2,0,0,0
72113070400,2014,3,0,0,0
72113070400,2015,2,0,0,0
72113070400,2016,2,0,0,0
72113070400,2017,1,0,0,0
72113070400,2018,4,0,0,0
72113070400,2019,2,0,0,0
72113070400,2021,5,0,0,0
72113070400,2022,4,0,0,0
72113070400,2023,3,1,0,0
72113070400,2024,6,1,0,0
72113070400,2025,5,3,1,0
72113070400,2026,2,1,1,0
72113070502,2000,12,0,0,0
72113070502,2001,34,0,0,0
72113070502,2002,91,1,0,0
72113070502,2003,29,1,0,0
72113070502,2004,27,1,0,0
72113070502,2005,27,1,0,0
72113070502,2006,31,0,0,0
72113070502,2007,31,2,0,0
72113070502,2008,44,1,0,0
72113070502,2009,19,1,0,0
72113070502,2010,35,1,0,0
72113070502,2011,38,0,0,0
72113070502,2012,59,1,0,0
72113070502,2013,45,0,0,0
72113070502,2014,31,0,0,0
72113070502,2015,19,4,1,0
72113070502,2016,24,0,0,0
72113070502,2017,28,1,1,0
72113070502,2018,29,2,2,0
72113070502,2019,31,1,0,0
72113070502,2020,23,0,0,0
72113070502,2021,29,0,0,0
72113070502,2022,35,5,0,0
72113070502,2023,41,6,0,0
72113070502,2024,36,2,0,0
72113070502,2025,34,9,3,2
72113070502,2026,10,1,0,0
72113070503,2000,9,0,0,0
72113070503,2001,21,0,0,0
72113070503,2002,39,3,0,0
72113070503,2003,34,0,0,0
72113070503,2004,31,0,0,0
72113070503,2005,40,0,0,0
72113070503,2006,36,0,0,0
72113070503,2007,34,1,0,0
72113070503,2008,23,1,0,0
72113070503,2009,26,0,0,0
72113070503,2010,25,1,0,0
